Cultural Trails and Landmarks,Anza-Borrego Desert State Park,33.256196 -116.403047,Anza-Borrego Desert State Park is the largest state park in California. The park consists of five hundred miles of dirt roads^ 12 wilderness areas^ and many miles of hiking trails. The park is located 85.6 miles northeast of Downtown San Diego. The park are the homelands to the Kumeyaay and the Cahuilla. The visitor center has several exhibits about the Indigenous Peoples who lived in this area. ,None,9-5; Park: Dawn-Dusk ,http://www.parks.ca.gov/?page_id=638,
Cultural Trails and Landmarks,Cabrillo National Monument,32.674284 -117.239629,The Kumeyaay Indians inhabited the area before the Spanish sailed upon the West Coast shore. There are a limited selection of exhibits about the Tribes in the area at the Cabrillo National Monument. The exhibits include outdoor wayside panels and flat panels in the Cabrillo exhibit. However^ tribal members are an integral part of the annual Cabrillo Festival Open House which occurs in September. The Kumeyaay share their traditions and stories with thousands of Festival visitors.,$5 per vehicle^ $3 for walk-ins,M-Su 9-5,http://www.nps.gov/cabr/index.htm,
Cultural Trails and Landmarks,Chokla (Gregory Mountain) ,33.3454 -117.095332,Located near the Pala Band of Mission Indians Reservation^ Chokla (Gregory Mountain) is a sacred and important cultural and spiritual site to the Luiseno. For over twenty years^ the Pala Band of Mission Indians have been working to halt the construction of a landfill that would result in garbage being buried high up the side of Chokla and near Medicine Rock (a 40-foot high rock also considered sacred). Both sites have been deemed eligible for listing on the National Register of Historic Sites; however^ the entire area is considered culturally important. Access is restriced to Pala Tribal Members.,N/A,N/A,http://www.savegregorycanyon.org,
Cultural Trails and Landmarks,Cuyamaca Rancho State Park,32.927402 -116.563644,The Cuyamaca Rancho State Park is located 47 miles east of San Diego and encompasses 24^700 acres of forest^ meadows^ and running streams. The Kumeyaay Indians ancestors occupied the Cuyamaca mountain^ and their village sites are located throughout the state park. The healing spring^ Ah-Ha Kwe-Ah-Mac (Water Colder Water)^ is located in the park. The park's visitor center features exhibits regarding Kumeyaay life before European settlement.,$8 per vehicle,Dawn-Dusk daily,www.parks.ca.gov/?page_id=667,
Cultural Trails and Landmarks,Felicita County Park,33.082405 -117.084248,Tucked in a small valley in southwest Escondido^ Felicita County Park is one of San Diego's oldest^ and most diverse gathering places. Felicita Park is listed on the National Register of Historic Places for its rich Native American and pioneer history. With its abundance of water^ oaks^  and boulders^ the land was the site of a large Kumeyaay village and is named after Felicita LaChappa^ a Kumeyaay woman who lived in the San Pasqual Valley.,None,9:30- Sunset,http://www.sandiegocounty.gov/parks/picnic/felicita.html,
Cultural Trails and Landmarks,Kuuchamaa Mountain,32.579505 -116.688907,Kuuchamaa Mountain is located near Tecate^ CA^ and is a sacred mountain for the Kumeyaay people. The mountain is located 43 miles southeast of Downtown San Diego. Kuuchamaa was named after a powerful tribal leader who used the spiritual power from the mountain to call for peace and healing among the Kumeyaay and surrounding nations. ,N/A,N/A,http://kdlc.org/html/kuuchamaa.html,
Cultural Trails and Landmarks,Mosler Property,33.06344139999999 -116.58110870000001,The Mosler property^ located in the Cuymaca mountain area^ is part of a cultural landscape of great significance to the Kumeyaay people^ who lived in the area until the 1800s. In the late nineteeth century^ the Mosler family aquired the land. After the death of Francis Mosler^ the land was granted to the Native American Land Convervancy. The Native American Land Conservancy granted the land to the Kumeyaay Diegueno Land Conservancy. ,N/A,N/A,http://kdlc.org/html/mosler.html,
Cultural Trails and Landmarks,Piedras Pintadas Trail,33.051964 -117.076659,Located in the San Dieguito River Valley^ the trail is 28 miles North of Downtown San Diego in Escondido^ CA. Recognizing that the Kumeyaay  lived in this area for thousands of years^ information about Kumeyaay culture and resource management techniques are provided on a series of interpretive panels along the Piedras Pintadas trail.,None,Dawn-Dusk daily,http://www.sdrp.org/resources/painted/index.htm,
Cultural Trails and Landmarks,San Diego Botanic Garden,33.05263 -117.279954,The San Diego Botanic Garden is a botanical garden located in Encinitas^ California - 28.5 miles North of Downtown San Diego. The Botanic Garden encompasses 37 acres which includes a Native Plants and Native People Trail. This trail displays how Native People used the plants for food^ medicine^ clothing^ shelter^ and tools. ,Varies $8-$10/person,9am-5pm Daily,www.sdbgarden.org,
Cultural Trails and Landmarks,Sloan Canyon (Portion of) ,32.773394239997415 -116.85423202543461,In 2013^ the Kumeyaay Diegueno Land Conservancy purchased a portion of Sloan Canyon from the Sycuan Band. This property is located adjacent to the Sycuan Indian Reservation and part of the Kumeyaay homeland. This property is conserved by KDLC as permanent open space.,N/A,N/A,http://kdlc.org/html/sloan-canyon.html,
